"domain","division","category","brand","name","price","score","reviewCnt","image","link","weight","unit"
수산물/건해산,김/미역/기타해조류,김자반,대천김,[기획상품] 대천김자반볶음 60g*2봉,5980,4.9,23244,https://sitem.ssgcdn.com/12/74/95/item/1000038957412_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000038957412&siteNo=7009&salestrNo=2551,120,g
수산물/건해산,김/미역/기타해조류,김스낵,동원,양반 마늘 김부각 (50g),4990,4.7,1627,https://sitem.ssgcdn.com/77/08/84/item/1000113840877_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000113840877&siteNo=6001&salestrNo=2037,50,g
수산물/건해산,김/미역/기타해조류,김스낵,동원,양반 김부각 (50g),4990,4.7,5412,https://sitem.ssgcdn.com/12/54/76/item/1000063765412_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000063765412&siteNo=6001&salestrNo=2037,50,g
수산물/건해산,김/미역/기타해조류,김스낵,없음,[SSG랜더스] 오리지널 김부각칩 60g,6580,5.0,6,https://sitem.ssgcdn.com/46/84/71/item/1000675718446_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000675718446&siteNo=7009&salestrNo=2551,60,g
수산물/건해산,김/미역/기타해조류,김스낵,자연주의,찹쌀 김부각 55g,4980,4.7,293,https://sitem.ssgcdn.com/75/29/64/item/1000521642975_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000521642975&siteNo=6001&salestrNo=2037,55,g
수산물/건해산,김/미역/기타해조류,김스낵,없음,[세화김] 장흥 무산김으로 만든 김부각 (45g),5980,4.6,83,https://sitem.ssgcdn.com/11/54/74/item/1000633745411_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633745411&siteNo=7009&salestrNo=2551,45,g
수산물/건해산,김/미역/기타해조류,미역,없음,줄기를 제거한 부드러운 완도미역 200g,6180,4.8,19753,https://sitem.ssgcdn.com/52/75/43/item/1000029437552_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000029437552&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,김/미역/기타해조류,미역,노브랜드,자른미역 100g,2980,4.8,6457,https://sitem.ssgcdn.com/57/27/51/item/1000336512757_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000336512757&siteNo=6001&salestrNo=2037,100,g
수산물/건해산,김/미역/기타해조류,미역,없음,[국산의힘] 고흥 미역 150g,4680,4.8,67042,https://sitem.ssgcdn.com/70/38/67/item/1000012673870_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000012673870&siteNo=6001&salestrNo=2037,150,g
수산물/건해산,김/미역/기타해조류,미역,오뚜기,옛날 자른 미역 (50g),3780,4.8,600,https://sitem.ssgcdn.com/60/14/08/item/1000633081460_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633081460&siteNo=7009&salestrNo=2551,50,g
